Это событие в зарубежной публицистике также иногда называется " третьей пражской дефенестрацией " .	третьей
Правда , не обошлось и без казусов : упрёки и грубая критика со стороны Дюранти вынудила Мане вызвать последнего на дуэль , на ней обидчик был ранен .	ранен
Волк традиционно использовался у аварцев и некоторых других народов Дагестана в качестве символа храбрости и мужества .	использовался
В 1635 г. мэтр Кудре определил фехтование как искусство пользоваться « оружием кисти » для атаки и защиты .	атаки
На данный момент король Штормграда является лидером фракции , и не влияет на решения лидеров других рас .	лидеров
Фактически же многонациональными являются практически все современные национальные сообщества .	сообщества
Сам писатель называет своими учителями и идейными предшественниками прежде всего сравнительно малоизвестных перуанских авторов , таких как , и Хосе Мария Аргедас .	авторов
После многих неудачных попыток администрация наконец добилась подписи Сигала под контрактом на фильм « В осаде » .	наконец
В некоторых городах мировая сделка заключалась при участии суда .	участии
Ледниково- тектонические озёра распространены в Карелии , Финляндии и на Кольском полуострове , образуя настоящую озёрную страну .	страну
В 1986 году Международный зал славы был официально признан Международной федерацией тенниса .	признан
Однако регентство продлилось лишь несколько лет , когда новый министр Андроник убил приёмного сына правителя , за что был казнён .	министр
Кожа состоит из трех слоев : эпидермиса ( наружного слоя ) , дермы и подкожно-жировой клетчатки гиподермы .	трех
В том же году по завещанию Алексея Петровича Бахрушина музею было передано собрание из около 2 тысяч предметов и 25 тысяч книг .	собрание
Высокоскоростной фотометр был заменён на систему оптической коррекции , Широкоугольная и планетарная камера — на новую модель ( ) с системой внутренней оптической коррекции .	системой
Басова в значительной мере вышли из употребления среди советских психологов .	вышли
Также многие используют специальные маски для защиты от попадания во время катания в глаза посторонних предметов , что может привести к травмам спортсмена .	глаза
Существуют противоречивые свидетельства о воздвижении памятников Иуде на территории РСФСР в первые годы Советской власти .	памятников
В 1400 году Гаага имела уже несколько тысяч жителей и более походила на город , нежели на деревню .	деревню
Для генерации подключей исходный 256-битный ключ разбивается на восемь 32-битных блоков : K … K .	восемь
Этот рекорд был установлен секретарём турецкого посольства в Англии в 1795 году ( Лондон ) .	рекорд
Предложение спеть по-русски перед гастролями в России осенью 2010 года принято не было .	осенью
Произведение состоит из 40 стихов , в которых описываются взаимоотношения между Богом и людьми .	людьми
Катары считали , что он принял подобие человека , и его приход , жизнь среди людей и смерть были только видимостью .	смерть
Именно начиная с этих фотографий он начинает использовать диагональное построение кадра , позже ставшее одной из отличительных черт его стиля .	стиля
В XX и XXI веках стали активно использоваться современные музыкальные стили , в том числе с 2004 года в Финляндии проводятся металлические мессы .	использоваться
id Software ( произносится как « ид » ; см. название ) — американская компания-разработчик компьютерных игр со штаб-квартирой в округе Даллас , штат Техас .	американская
Бронье был делегатом Революционного Студенческого Директората ( DRE ) , организации , выступающей против режима Фиделя Кастро .	режима
Во-первых , ряд комбригов не был переаттестован в связи с недостаточно удовлетворительным исполнением служебных обязанностей или по другим причинам .	причинам
< br > Конъюнкция коммутативна , ассоциативна и дистрибутивна по отношению к слабой дизъюнкции .	отношению
В настоящее время преподаёт в Санкт-Петербургском государственном университете технологии и дизайна курс « Фотоискусство » .	государственном
Конденсаторы применяются на тепловых и атомных электростанциях для конденсации отработавшего в турбинах пара .	пара
Европейцы стимулировали модернизацию , но одновременно с этим они проводили расселение французов на лучших землях Алжира и европейских евреев в Палестине .	европейских
Искусствовед Александр Аникст писал на страницах « Московского комсомольца » , что « Галилей становится для нас живым человеком , в судьбе которого мы горячо заинтересованы » .	человеком
Лух ( Вичугский район Ивановской обл. ) , рядом с д .	обл.
Доподлино не известно , как именно картина попала к нему .	картина
Роман стал одним из произведений , за которое Роллану в 1915 году была присвоена Нобелевская премия по литературе .	литературе
Затем был сотрудником Азиатского департамента МИД ( 1835 — 1843 ) .	департамента
Считалось , что эта величина определялась путем деления стоимости приватизируемых предприятий на число жителей РФ .	деления
Укрепив позицию частоколом и рвом , он зажёг на горе огромный костер .	позицию
В 2016 году Шведская Академия опубликовала список 90 номинантов на премию 1965 года у себя на сайте .	сайте
С 1941 года вместо него вводится гаубичный артиллерийский полк ( 2 дивизиона по 3 четырёхорудийных батареи ) , гаубиц становится 24 .	дивизиона
Это сферический камень тёмного цвета , найденный в реке или возле Вриндавана .	возле
Разрешить с успехом эту задачу была бы в состоянии только такая система , которая с всеобъемлющим характером прежней теологии и метафизики соединяла бы достоверность точной науки .	успехом
Всего по делу группы Зорге было арестовано 35 человек , привлечено к суду 17 .	делу
Но в неменьшей степени позицию учёного определили его личные симпатии к стране и её народу .	позицию
В городских условиях ( рабочие посёлки Ардатов и Мухтолово ) проживают % населения района .	городских
Серьёзные разрушения получили 50 корпусов и зданий .	зданий
И , как это не парадоксально , на конкурсе Золотая малина ( ) фильму удостоили особенное внимание .	конкурсе
Кроме того , были отреставрированы угловая башня ограды и дугообразная часть стены с парадными воротами .	стены
Около 11 вечера король известил о своем согласии утвердить Декларацию прав и другие декреты .	своем
Однако , если на доске с одной стороны остаётся лишь король , а с другой — король и слон , объявляется ничья .	остаётся
В Пале-Рояле молодой адвокат Камиль Демулен бросил клич : « К оружию ! » .	молодой
В 1937 был утверждён в должности завкафедры экспериментальной физики ЛФТИ , в 1938 выдвинут в действительные члены Академии наук СССР .	физики
Они манипулируют большими объёмами данных за один проход и способны моделировать нейронную сеть экспоненциального размера .	сеть
3 февраля того же года он читал их на конференции « Поэты Советской Грузии » .	конференции
Прототипы своих героев скульптор нашёл в деревне Прыговой ( Колгановой ) Крестовской волости Шадринского уезда ( ныне в Ильтяковском сельсовете ) Шадринского района ) .	героев
И вот однажды , наслушавшись щебетанья птиц и шороха ветра , Кадын решила сбежать из заточения и встретиться с долгожданной любовью .	птиц
В 1854 году он получил чин генерал-полковника пехоты в должности генерал-фельдмаршала .	пехоты
Такое поведение Арсения вывело императора из себя : он обвинил патриарха в том , что тот пытается устранить его от власти .	пытается
В августе 1944 года покинул пост заместителя Председателя СНК СССР .	заместителя
Ниже течение успокаивается , пороги исчезают , Андома протекает несколькими рукавами через большое Сухоялецкое болото , в один из рукавов впадает река Ялега .	несколькими
Он рассчитывал , что сможет работать там только с немногими высококвалифицированными студентами и ассистентами .	студентами
ЧК , на третьем месте , в то время как имя Багирова в списке отсутствовало .	списке
Анто́н Па́влович Че́хов ( , Таганрог , Екатеринославская губерния ( теперь Ростовская область ) — , Баденвайлер ) — русский писатель , прозаик , драматург .	губерния
Витте был отправлен в отставку по собственному желанию 22 апреля 1906 года .	отправлен
Большинство же склонялось к версии , что Скобелев был убит , что « белый генерал » пал жертвой германской ненависти .	убит
Хотя основные эстетические принципы этого направления и приписываются Ронсару , но Дю Белле считается главным полемистом « Плеяды » , одним из реформаторов французского языка и поэзии .	французского
В ноябре 1976 года развернулось строительство железнодорожной станции Ноябрьская , расположенной на линии Сургут — Уренгой и пристанционного посёлка .	железнодорожной
Есть мнение о том , что более трудный участок ( « монастырский » ) был пройден первым .	мнение
Кроме того , Ричард предпринял некоторые шаги для канонизации Эдуарда II , но успеха не добился .	успеха
Промышленность района представлена 17 предприятиями .	представлена
В 1944 году начался новый набор на кафедру ВГИК под его руководством .	начался
Помимо вещания на FM частотах существует стриминг на собственном Интернет сайте .	сайте
Перечисленное позволяет рассматривать объект как древнейший « горнопромышленный » участок , а именно « рудник » по добыче кварцита .	объект
Разводили также крупный рогатый скот .	крупный
Голову его покрывала синяя фетровая шляпа , опоясанная чёрную лентою , которую генерал как-то особенно глубоко напялил на голову с наклоном на правый бок .	голову
Герасимова по специальности « режиссёр игрового кино » .	специальности
С 15 октября 1952 года — в рядах ВС СССР ( призван Смоленским РВК Воронежа ) .	призван
В крымском альбоме « Стихи и схемы » Набоков помещал свои стихи и их диаграммы ( вместе с шахматными задачами и другими заметками ) .	стихи
Имена братьев Чапеков сейчас носят улицы в Праге и многих других городах .	братьев
Автор хотел написать о тщеславии своих современников .	хотел
В момент оргазма ритмичные сокращения мускулов происходят во внешней трети половых органов и в матке .	внешней
В 1878 году был образован муниципалитет Шиллонга .	муниципалитет
Минимальная цена проезда составляет 3 песо по карте SUBE , оплатить проезд наличными невозможно с 2015 года .	невозможно
Он был старшим сыном в семье Эмиля Ипполита Матисса и Элоизы Анны Жерар .	старшим
При Заварове клуб вышел из пятого дивизиона в четвёртый , однако только на один сезон .	дивизиона
На второй год после возвращения из Вавилона в 24-й день месяца кислев началось строительство .	возвращения
Сарджента , в первую очередь связан с политическими идеологиями .	связан
Рули направления и рули высоты имели по триммеру с электрическим приводом .	высоты
Ему было поручено вести отряд , который и нанес горцам решительное поражение .	вести
В октябре Света дважды смогла сыграть в полуфиналах — на турнирах в Штутгарте и Цюрихе .	смогла
Были построены такие памятники , как Церковь св .	построены
Кульминацией бедственного положения стала эпидемия холеры , от которой умерло 402 человека в 1832 году .	положения
На западной окраине города ( вверх по р. Рось ) , в урочище Палиева гора , — найдено другое округлое городище ( диаметром 55 м ) .	другое
« Когда я пришел , — вспоминал он , — уже успели осмотреть его шкафы , где не нашли ни им писанных тетрадей , ни денег » .	денег
Финикийцы издавна славились как искусные ремесленники далеко за пределами своих мест расселения .	пределами
Развитие сталеплавильного производства повлекло за собой и развитие нового оборудования для горячей и холодней обработки стали .	оборудования
Альберт Данилович Жамет ( , ; , Вильна — 1877 ) — русский художник-пейзажист , академик живописи .	живописи
Вскоре после появления Safari работа над Internet Explorer for Mac была прекращена .	появления
Три главнейшие характеристики судьбы : тотальность , непознаваемость и независимость от человеческой воли .	независимость
В этом списке люди , исповедующие лютеранство , обозначались как « чужие » .	списке
Но затем во втором раунде Бовина уступила немке Юлии Шруфф 6-3 6-4 .	раунде
В эстетическом отношении придерживался образцов французского классицизма ( Буало , Мольер , Лафонтен ) .	французского
В 1992 году из Высшего художественно-промышленного училища преобразовано в " Московский художественно-промышленный институт им .	училища
Близость электронных уровней приводит к формированию низкоэнергетической электронной конфигурации , с примерно одинаковыми уровнями энергии .	энергии
Полевая артиллерия , подобно пехоте , формируется в твёрдо сплочённые боевые части .	боевые
Ударение в данном случае на том , что этот человек — живой свидетель дел Иисуса .	данном
Эти аллотропы , которые различаются по своим структурным характеристикам и показателями плотности , имеют очень похожие значения внутренней энергии .	энергии
Данная опция всегда устанавливается по умолчанию для программ dir и d .	программ
После ознакомления с переводом видный востоковед был удивлен тому , какой прекрасный перевод сделал Чокан , нисколько не снижая силу и художественность кыргызского слова .	перевод
Во-первых , к сбору макулатуры привлекались учащиеся школ .	школ
Одно время спрос на модель превышал возможности поставок и поддерживался появлением ряда тюнинговых версий , предлагаемых местными дилерами в экономически развитых странах мира .	экономически
Итак , надобно было превозмочь любовь .	любовь
В содержание этого тезиса входит идея , которая была востребована в сравнительно позднее время при достижении понимания мира как динамичного целого , изменяющейся материальной системы .	содержание
Если на луче зрения между звездой и наблюдателем находится тело с сильным гравитационным полем , то объект будет линзирован .	объект
В языках C и C + + , некоторые рекомендуют использовать с той же целью директивы препроцессора ( codice _ 1 … codice _ 2 ) .	языках
Мудрого и подвигами национальных героев-воинов XVI века .	национальных
« Поэма о Роботе » вызвала и положительные , и отрицательные отзывы критиков ( но отрицательные преобладали ) .	критиков
Кошицкая правительственная программа от 5 апреля 1945 в городе Кошице .	программа
В 1917 году Дания продала свои владения США , и они получили название Американские Виргинские острова .	владения
В ходе аудита используются такие методики , как подсчёт количества сообщений , оценки , типы СМИ , оценка материалов по нескольким составляющим , статистическая обработка мотивов .	оценки
Гарри — хороший друг и товарищ , не любит врать , всегда старается помочь тем , кто нуждается в помощи .	помочь
Помимо изучения македонского языка в их ведение входит совершенствование языковых норм , создание грамматик и словарей .	изучения
Хоббит Бильбо Бэггинс , главный герой повести « Хоббит » , уходит на покой и оставляет племяннику Фродо волшебное кольцо , делающее всякого своего носителя невидимым .	герой
Если бы эта информация " всплыла " , то убийца вышел бы на свободу .	информация
Эрекция может регулярно возникать во время сна .	регулярно
Тем не менее романтические сцены получились убедительными : Бергман , по выражению критика Р .	сцены
Также были предложены теории , по которым за псевдонимом « Шекспир » скрывалась группа писателей .	писателей
Пётр Нилович Демичев « выражал искреннее недоумение » директору « Мелодии » по причине невыхода пластинки , но к реальным действиям по её выпуску это не привело .	причине
До последних дней своей жизни учёный продолжал работу над пятым томом , но завершить его не удалось .	учёный
Также она участвовала в постановке Ив Элснер « Монологи вагины » ( ) .	участвовала
Клаппертон двадцать дней провел в состоянии полного изнеможения .	провел
Препараты этой группы быстро устраняют базальный тонус дыхательных путей , создаваемый лейкотриенами вследствие хронической активации 5-липоксигеназной ферментной системы .	путей
Все эти элементы объединены Любовью ( подробное описание в псалме 39 ) .	описание
В его правление , по оценке Х .	правление
В мае 2008 года было принято решение о ликвидации Российского фонда федерального имущества и возложении его полномочий на Росимущество .	фонда
Саакашвили был назначен главой Одесской областной государственной администрации .	главой
В связи с этим при обосновании режимов пастеризации молока за основу принимают тепловую обработку туберкулёзной палочки .	основу
С 2008 по 11 февраля 2013 года пост главы управы занимал Виталий Владимирович Аксёнов .	главы
Совет глав государств провел своё заседание в расширенном формате .	провел
Впоследствии , чтобы не путать его с отцом , также носившим имя « Томас Майн » , первое имя употреблять перестали .	отцом
Стоит отметить , что в этом Кабмине у Тимошенко не было ни одного министра от БЮТ , кроме самой Тимошенко ( лишь должность руководителя СБУ занял А .	отметить
Microsoft Flight Simulator — серия гражданских авиасимуляторов , выпускаемых корпорацией Microsoft .	серия
До этого фильм участвовал в конкурсе Каннского кинофестиваля .	конкурсе
Заготовкой и переработкой древесины в районе занимаются предприятия всех форм собственности и предприниматели без образования юридического лица .	форм
Западная Белоруссия была разделена на 5 областей — Барановичскую , Белостокскую , Брестскую , Вилейскую и Пинскую .	областей
Среди строгих вегетарианцев по сравнению с не-вегетарианцами этот показатель оказался ниже на 15 % , среди молочно-яичных вегетарианцев — на 9	показатель
В 2012 году было приостановлено платное обучение 18 групп слушателей по программе дополнительного образования , с которых уже собрали деньги .	программе
Ценой огромных усилий , используя весь свой авторитет и связи , Вейерштрассу удалось выхлопотать ей место в Стокгольмском университете ( 1884 ) .	используя
Rolls-Royce Motor Cars Ltd ( " Роллс-Ройс " ) — английская компания , подразделение BMW AG , специализирующаяся на выпуске автомобилей класса люкс под маркой Rolls-Royce .	автомобилей
31 января 1994 года НАСА объявило об успехе миссии и продемонстрировало первые снимки значительно лучшего качества .	качества
Коллегиальный руководящий орган — Федеральный политический совет в основном из региональных отделений .	политический
В конечном счете Ельцин сделал ставку не на Явлинского , а на Егора Гайдара и его команду молодых экономистов .	молодых
Франция в 1840 году потерпела серьёзное политическое поражение в ходе — конфликта между Османской империей и египетскими сепаратистами .	конфликта
Как сообщил Ватабэ , эта находка ставит точку в череде домыслов о последних минутах жизни выдающегося разведчика .	сообщил
Изначально название « аварцы » было совершенно чуждо самим аварцам .	совершенно
До революции Могоча была небольшим разъездом , который состоял из трёх улиц , с населением в 1700 человек .	улиц
Район получил своё название по названию строительной фирмы « Danya Cebus » .	фирмы
Хотя он участвовал на Евро-2004 и Чемпионате мира 2006 года , он не смог стать игроком основного состава в сборной Англии .	основного
Возможно другое обозначение молярной концентрации , которое принято обозначать М .	другое
В Георгиевске действуют все три национальных оператора сотовой связи .	национальных
Подполко́вник — чин и воинское звание старшего офицерского состава между майором и полковником в вооружённых силах многих государств мира .	старшего
Гастрин увеличивает секрецию секретина , холецистокинина , соматостатина и ряда других гормонально активных кишечных и панкреатических пептидов , а также секрецию кишечных и панкреатических ферментов .	активных
Тихвин стал первым городом , освобождённым в ходе .	городом
Однако это частное определение — в общем случае анализ сигналов производится в плоскости вейвлет-коэффициентов ( масштаб — время — уровень ) ( Scale-Time-Amplitude ) .	общем
Большая часть грузинских заимствований из среднеперсидского перешла от армянского языка .	перешла
В 2001 году перешла в московскую вечернюю школу № 17 на дневное отделение , в которой закончила 10 и 11 классы .	перешла
В связи с наличием молочного сахара в составе таблеток их применение противопоказано при галактоземии , глюкозы или галактозы либо при дефиците лактазы .	применение
br > 6 гвардейскому минометному полку ; <	полку
Крупные глаза расположены близко к концу рыла и покрыты снаружи прозрачной кожной плёнкой .	глаза
Существуют проекты небоскрёбов высотой в несколько километров :	высотой
Авторитет анархистов и лично Махно укрепила проведённая им в сентябре 1917 года конфискация помещичьих земель .	земель
Сервантес всегда с гордостью вспоминал своё участие в этом сражении : он верил , что принял участие в событии , которое определит ход истории Европы .	сражении
Неограниченное время для голденскора ( а значит отказ от определения победителя решением судей ( т. н. « хантэй » ) ) .	определения
Эта же позиция была высказана и в последовавшем на следующий день заявлении украинского парламента по данному вопросу .	парламента
Крайне раздраженный , король отдал своим чиновникам необдуманное распоряжение произвести немедленную конфискацию всех церковных владений и имущества и объявил английскую церковь вне закона .	закона
Получил хорошее образование в доме отца ( 1704 — 1783 ) , довольно известного врача .	известного
Но их строительство нарушило экологическое равновесие , коренным образом изменило условия водообмена .	условия
Максимальный порядок элементов группы formula _ 7 — функция Ландау .	порядок
Таким образом , обеспечивается низкое электрическое сопротивление корпуса .	сопротивление
А если он был грешен , то , не пройдя узкого моста , душа человека падала в нижний мир , в ад .	моста
В 1637 году Галлас начал наступление на Померанию .	наступление
В 1719 и 1722 годах на нижней террасе вырыли два пруда .	нижней
В сериях начиная с 2007-го года отношения Моники и Слика начинают всё больше перерастать в отношения парня и девушки , хотя это и не было озвучено явно .	начинают
В России производство полностью автоматических тонометров началось в 1993 году на совместном предприятии « Медтехника-Интермед » в городе Магнитогорске из импортных комплектующих фирмы Sein Electronics .	фирмы
На Уимблдонском турнире 2007 года она также вышла в 1 / 4 финала , где проиграла Винус Уильямс .	финала
Правда , позже Каррина сумел прорвать окружение , воспользовавшись ненастной погодой .	сумел
Так например , всеобщее признание не доказывает врождённости , если можно указать на иное объяснение факта всеобщего признания , да и самая всеобщность признания известного принципа сомнительна .	известного
Религиозная символика и ритуалы с участием овец применялись уже в первых известных нам религиях .	участием
где -гравитационная постоянна , а — функция масс звезды и по определению равна :	звезды
Сельское хозяйство занимает ведущее место в экономике провинции .	хозяйство
Достопримечательностью центра города является эспланада ( парк ) , которая используется жителями города в качестве парка и места массовых гуляний и Храм Рождества Христова .	парка
В 1906 — в Большом зале Московской консерватории исполнена опера Поленова « Призраки Эллады » .	консерватории
В начале 1957 года министр внутренних дел СССР Н .	министр
При переправе через Изонцо они столкнулись с армией Одоакра .	армией
В 1928 году Лю назначили секретарем партийного бюро рабочих , а 1929 году — секретарем партийной ячейки КПК в Маньчжурии .	бюро
Так , не рекомендуется пить воду из родника Беллур-чишме ( Бәллүр чишмә ) ( ул .	воду
Когда Перон стал министром обороны и вице-президентом , её положение на канале « Бельграно » ещё более упрочилось .	канале
Митридат отличался болезненной подозрительностью и считал себя окружённым заговорщиками .	считал
С момента образования айсберга любого вида непрерывно происходит процесс его разрушения , в мористой части океана — особенно активно .	океана
Пару лет назад пытался вбить в Стену города опоры , чтобы Рэки выбралась по ней .	пытался
Калькируются некоторые синтаксические конструкции .	конструкции
Для любых элементов formula _ 67 и formula _ 68 линейного пространства со скалярным произведением выполняется неравенство	пространства
1 ноября 2017 года , построен и открыт парка « Юбилейный » , со стелой « Я люблю Советск » .	парка
После освобождения реки ото льда практически сразу происходит заливание поймы .	освобождения
Абингдон ( ) — населённый пункт в США в округе Харфорд штата Мэриленд , в 34 км к северо-востоку от города Балтимор , на реке Буш .	населённый
Своеобразным манифестом французского классицизма становится дидактическая поэма Н .	французского
Он служит для трансформации кратковременных видеоимпульсов напряжения , обычно периодически повторяющихся с высокой скважностью .	служит
С развитием Просвещения отмежевание от идеологии стало составной частью научного подхода .	научного
В зарплате чиновникам и солдатам 2 марки должны были выплачиваться монетами в 4 пфеннига .	марки
Среди других условных подписей и псевдонимов , использовавшихся Лесковым , известны : « Фрейшиц » , « В .	известны
В некоторых местах России пижмой называют другие растения , например , , , и др .	растения
Брак его родителей считался несчастным .	родителей
Стахеевых комитет » , огромные средства которого направлялись исключительно на помощь людям .	комитет
Для выбравших ежемесячную отчетность отчетным периодом является 1 месяц , 2 месяца , 3 месяца , … , 11 месяцев .	месяц
До открытия этих берестяных грамот наиболее ранним упоминанием Марены была « Польская история » Яна Длугоша ( 1455 год ) .	открытия
Благодаря упражнениям способ действия совершенствуется и закрепляется .	способ
