Стрелок ранен и находится в больнице под контролем спецслужб .	ранен
э. был назначен соправителем отца , а в 193 — генерал-губернатором Верхних сатрапий ( восточные области государства , центром которых являлась Мидия ) .	являлась
Прошло всего три года , а у Андрея уже появились помощники и ученики , к тому времени у Андрея уже полностью сформировался свой индивидуальный стиль .	стиль
Первое документальное свидетельство относится к ноябрю 1808 года , когда лейтенант пролетел 9,5 метров , чтобы доказать свою храбрость сослуживцам .	лейтенант
Он продолжал действовать — теперь уже в интересах сына лже-Диогена — Василия и организовал новый поход , пытаясь удержать города на Дунае .	организовал
Этот институт достиг своего апогея в 1478 году , когда король Фердинанд и королева Изабелла с санкции папы Сикста IV учредили испанскую инквизицию .	достиг
Фактически прекращают своё существование тоже в 1922 году .	существование
Однако , вскоре после этого концерта Geoff Mott and The Mottoes распались , так как Джефф Мотт ( второй основатель ) присоединился к группе The Boston Crabs .	присоединился
В составе команды стал победителем первого послевоенного чемпионата 1945 и чемпионата 1949 , занял вторые места в 1948 , 1950 .	победителем
Чтобы как-то решить проблему острого недостатка жилья для приехавших квалифицированных специалистов , начинается интенсивное строительство частного посёлка в восточной части города — « Второй Павлодар » .	специалистов
Стюарт подошёл к дверям пожарной части и зачитал восставшим письмо .	письмо
Антропоморфические образы поэта даны в тонах самобытной реалистической символики , далёкой от абстрактно-метафизических построений .	поэта
В 1990 , в TIM ( Time-based inductive machine ) было реализовано обнаружение аномалий с использованием индуктивного обучения на основе последовательных паттернов пользователя на языке Common LISP .	использованием
В этой ситуации Александр действовал решительно .	ситуации
Базилика Святого Иштвана ( ) названа в честь первого короля Венгрии Иштвана .	названа
В Венецы есть один законник , мастер математики и козмографии и иных тому подобных наук , которому имя есть Каронелий .	мастер
SSH ( безопасное соединение с удалённой машиной ) , DNS ( преобразование символьных имён в IP-адреса ) и многие другие .	соединение
По состоянию на февраль 2019 года аэропорт Челябинска обслуживает следующие рейсы :	аэропорт
Кирилл же пользуется моментом и приходит свататься к родителям Даши .	приходит
Именно там появились его самые блестящие юмористические рассказы .	самые
Венгры готовились организовать поголовное вооружение ; жители Иллирии восстали против французов .	вооружение
Также в 1978 году был издан художественный маркированный конверт , посвящённый писателю .	художественный
В ходе личной встречи двух монархов в Вокулере был восстановлен союз между Штауфенами и Капетингами против Вельфов и Плантагенетов .	встречи
Классический синодальный перевод передаёт слова Иова , как « Поэтому я отрекаюсь и раскаиваюсь в прахе и пепле » .	перевод
На сегодняшний день это один из немногих примеров удачного взаимодействия большого бизнеса и сообщества энтузиастов киноманов-альтруистов .	сообщества
В эпоху Римской империи возник характерный для последующих утопий мотив пространственного или хронологического барьера , отделяющего идеальное сообщество от современности .	эпоху
Осенью того же года она выпустила сингл " Mambo ! " .	выпустила
В животноводстве основным направлением является производство молочной продукции .	продукции
Одной из ключевых исторических тенденций в развитии вишнуизма было слияние образов Вишну и Кришны .	развитии
Ошибочное восприятие зверя на Болгарском гербе в Царском титулярнике как барса объясняется плохим качеством репродукции изображения , вследствие которого завитки шерсти на шкуре превратились в пятна .	изображения
16 января 1987 года решением Приморского крайисполкома № 2 сёла Андреево , Чайкино и Южная Лифляндия включены в рабочий посёлок Большой Камень .	включены
Молотовск ( ныне Северодвинск ) на строительство новой судоверфи ( будущий завод « Севмаш » ) где работал старшим инженером группы ППО .	старшим
Торговые связи сибирского города выходили далеко за пределы России : через поморские города Европейского Севера России он был связан с крупными компаниями Западной Европы .	связан
Как только позволило состояние пострадавшего , его перевезли в Институт Склифосовского .	позволило
Фильм рассказывает о тайной борьбе светлых и тёмных мистических сил в современной Москве .	рассказывает
Эдуард удалился в замок Кайрфилли и попытался сплотить оставшиеся войска .	замок
После освобождения города обезображенные тела казнённых были подняты на поверхность .	освобождения
Эфиопский перевод Библии сложился не сразу , а в результате длительной переводческой и редакторской деятельности книжников .	перевод
Кроме того , в городе существуют зоопарк , террариум и парк-оранжерея экзотических растений ( « Флора » ) .	существуют
С преподавательской работой он совмещал изучение языков и публикацию своих первых научных работ .	работой
Её похороны собрали цвет международного музыкального сообщества , включая Игнаца Падеревского , Вальтера Дамроша , Франца Кнайзеля , Мишу Эльмана и др .	сообщества
Березина , хан был совершенно независим .	совершенно
Сфумато — это едва уловимая дымка , окутывающая лицо и фигуру , смягчающая контуры и тени .	лицо
Следующие важные события в карьере игрока произошли в бытность его игроком этой команды :	карьере
Поскольку с ним ушла и значительная часть кавалерии , римляне не могли надеяться на успех в сражении против мобильной парфянской армии .	сражении
Когда Македония была завоевана Римской республикой , страну разделили на четыре независимые друг от друга республики с аристократией во главе , которые выплачивали дань Риму .	страну
Многие токоферолы , а также соответствующие им токотриенолы , являются биологически активными и в совокупности называются витамином E .	активными
За годы судебных процессов и секвестра майората он влез в долги , пришлось заложить часть движимого имущества .	процессов
Взаимоотношения между этими системами и собственно масонскими юрисдикциями могут быть разными , и могут вообще отсутствовать .	вообще
2 апреля 1996 года для объединения гуманитарного и экономического пространства был создан Союз России и Белоруссии с координационными и исполнительными органами .	пространства
По секретному дополнительному протоколу к Договору Финляндия была отнесена к сфере интересов СССР .	сфере
Когда исходная сигнальная функция сообщения концентрирует в себе элементы экспрессии ( эмоциональной выразительности ) и суггестии ( внушения ) , реклама приобретает наибольшую эффективность .	сообщения
В настоящее время транзистор является основой схемотехники подавляющего большинства электронных устройств и интегральных микросхем .	большинства
В 2000 году основал компанию « Систем Кэпитал Менеджмент » ; с 7 апреля 2009 года является единственным акционером компании .	единственным
Она предназначалась для решения тактических ( Франция и другие государства ) и оперативных ( Германия ) задач .	задач
Крейца зайти русской пехоте с фронта и " « гнать её обратно » " .	обратно
Длина тела 93 — 116 см , высота в холке — 60 — 75 см , весит 18 — 33 кг .	высота
В 1996 году на конференции Information Hiding : First Information Workshop была принята единая терминология :	конференции
Один из первых европейских учёных , исследовавших быт и культуру осетин , ингушей и других северокавказских народов .	европейских
Иностранные фирмы также выпускают детали для самостоятельного изготовления багги — стеклопластиковые кузова , стекла , светотехнику , обвесы , дуги безопасности и др .	фирмы
Будучи старшим сыном короля , а значит и наследником престола , Карлуш воспитывался как будущий монарх .	старшим
Переводил на армянский язык стихи Уитмена и « Мать » М. Горького .	стихи
Преподавал в Школе современного искусства при Российском государственном гуманитарном университете .	государственном
Сопровождавшие эскадру негры не могли найти общего языка с туземцами , которые сначала ретировались , а потом попытались напасть на лагерь европейцев .	лагерь
В Центрах оказывается первичная медицинская помощь врачами общей практики ( семейными врачами ) , участковыми терапевтами и участковыми педиатрами взрослым и детям .	оказывается
э. ассирийский авангард перешёл вавилонскую границу и сжёг городок Шазнаку .	границу
Загадка аномального эффекта Зеемана была разгадана только после открытия спина электрона и создания квантовой механики .	открытия
По состоянию на 18 часов русская армия по-прежнему прочно располагалась на бородинской позиции , а французским войскам ни на одном из направлений не удалось достигнуть решительного успеха .	успеха
Был женат на Елене Ивановне Рукавишниковой ( 17 ( 29 ) августа 1876 — 2 мая 1939 , Прага ) , дочери крупного предпринимателя И .	женат
Уезд в административном отношении делится на один муниципалитет и 2 волости :	муниципалитет
Усть-Ордынский Бурятский автономный округ был единственным субъектом РФ , в котором отсутствовало городское население .	единственным
В Верховный Совет 9 созыва избран от Киево-Святошинского избирательного округа № 494 Киевской области , член Комиссии по транспорту и связи Совета Союза .	созыва
Во время премьерства Ваджпаи Индия провела вторые ядерные испытания на полигоне в штате Раджастхан .	штате
И новое поколение художников придет к настоящему развалу форм и обнищанию содержания .	форм
« Во время перехода под Гадяч , спровоцированного русскими , шведам пришлось выйти из тёплых хат на лютый мороз .	выйти
Дан проиграл , попал в плен , а затем был казнён .	проиграл
С помощью своих божественных родителей они совершали всевозможные подвиги .	родителей
17 июня 1937 года он сбил свой первый самолёт .	самолёт
С 1861 года — адвокатом по крестьянским делам в Далматово .	делам
Гештальтпсихология изменила прежнее воззрение на сознание , доказывая , что его анализ призван иметь дело не с отдельными элементами , а с целостными психическими образами .	призван
10 июля 455 года в Арелате на собрании представителей семи галльских провинций Авит был провозглашён императором .	семи
Был контужен , в месте назначения в эвакуации появился только 28 ноября 1941 года после пребывания в эвакогоспитале в Бугульме .	назначения
Лавировочные качества тендера несколько ниже , чем у шлюпа .	качества
Каждый волос состоит из трех слоев .	трех
Официальная версия происхождения названия реки Зама , впадающей в Оку ниже по течению , объясняет название Зама именно так .	течению
Бунин получил восемь избирательных голосов и три — неизбирательных .	восемь
Вельможа при дворе болгарского царя Асеня I , Иванко , убивает Асеня I по наущению « коварного грека » Исака и его дочери .	дворе
После поражения ТигранаII в битве с Лукуллом под Тигранакертом , столица была вновь возвращена в Арташат .	поражения
Декартов лист — плоская алгебраическая кривая третьего порядка , удовлетворяющая уравнению в прямоугольной системе formula _ 1 .	третьего
Гипотеза о том , что при депрессивных расстройствах уменьшается содержание в мозге серотонина , привела к терапевтическому использованию L-триптофана и 5-окситриптофана .	содержание
Идея проведения турнира зародилась в 1919 г. , когда миссис Хейзел Хочкисс-Уайтмен выдвинула концепцию женского командного соревнования .	соревнования
Тогда индустриальные страны создали единую валютную систему , основой которой и стала золотая денежная единица .	единица
Общий вес награды — около Хрустальная часть изготовлена на Дятьковском хрустальном заводе , а серебряные элементы выполнены ювелирами компании « Город Н » .	награды
э. ) определяется граница Курземских балтов ( западнобалтская культура курганных погребений ) и финно-угров .	определяется
Форма и расстояние между полосами на шкуре тигра отличаются у различных подвидов , но большинство тигров имеет более чем 100 полос .	расстояние
В 7 лет Эдсон начал выступать за местную детскую команду , где отличался очень зрелищной и результативной игрой в атаке .	выступать
По самой ранней версии истории , первые эльфы были пробуждены Эру Илуватаром у залива Куивиэнен в Годы Древ Первой Эпохи .	залива
Над графскою короною шлем стальной , дворянскою короною увенчанный , с золотыми решетками и золотою же медалью , на цепи висящею .	медалью
Через несколько лет после возвращения из Великого посольства на острове Котлин началось строительство крепостей .	возвращения
Ажиотаж подогревался в том числе и прессой ( в частности , " ) , публиковавшей оплаченные одобрительные материалы .	материалы
Во второй половине 1922 года проходит очередная волна арестов , в результате которой меньшевики фактически прекращают своё существование в России .	существование
Васи́лий Петро́вич Ста́сов ( ) — русский архитектор , один из основоположников русского ампира .	архитектор
Еле́ц — город ( с 1146 года ) в России , административный центр Елецкого района Липецкой области .	административный
Такого рода назначения являются неоправданными , и более благоразумным решением в этом случае будет постепенная отмена хотя бы нескольких препаратов и критическая оценка значения других .	назначения
Например , наличие клеточной стенки препятствует фагоцитозу , поэтому в растительных клетках продукты апоптоза ликвидируются за счёт аутофагии и автолиза .	наличие
Доходы бюджета 2012 года в исполненном варианте составили 2,708 млрд рублей , расходы — 2,716 млрд .	составили
Группы стальных конструкций для выбора марок стали :	марок
За эту кампанию полку были пожалованы Георгиевские штандарты .	полку
11 сентября 1820 года Засс был переведён в Нижегородский драгунский полк дислоцированный на Лезгинской линии .	переведён
Средне-специальные образовательные учреждения города и района : А также филиалы ВУЗов :	учреждения
Кроме того компания выступала издателем игр сторонних студий .	выступала
1983 г. Создано ОАО « Советское автотранспортное предприятие » Северавтотранса как филиал Урайского АТП .	предприятие
Владимир Александрович лично составил пятилетний план работы для института , а именно лаборатории коррозии черных металлов .	лаборатории
Наряду с общими и специальными лекционными курсами проводились просеминары и специальные тематические семинары .	проводились
Согласно правилам FIS параллельные – это такие соревнования , где два спортсмена едут одновременно рядом по двум трассам .	соревнования
В семье преклонялись перед литературой и театром , писали стихи и пьесы для чтения в кругу семьи .	стихи
Эдуард Мане пишет несколько портретов Золя , а Поль Сезанн продолжает оставаться его ближайшим другом .	продолжает
Император Август содействовал назначению Капитона прежде его соперника Лабеона , который , по всей видимости , был старшим претором .	старшим
Битва при Каллодене стала последним сражением на территории острова Великобритания .	последним
В Бордо сохранены великолепные объекты природного и архитектурного наследия .	наследия
Это правило Мейер вывел после разработки " Sid Meier ' s Covert Action " , практически полностью состоящей из миниигр .	разработки
Роландас Паксас , в частности , обвинялся в том , что он сообщил Юрию Борисову о прослушивании его телефонных переговоров литовскими спецслужбами .	сообщил
У неё было двое детей ( Татьяна , Алексей ) , к тому времени уже достаточно взрослых .	двое
За два следующих года Бунюэль приложил руку к выпуску восемнадцати фильмов .	следующих
В марте 1964 года был показан первый серийный автомобиль Lamborghini 350 GT . Продажи серийной версии были весьма успешными .	автомобиль
У некоторых женщин головка настолько чувствительна , что её прямая стимуляция ( при мастурбации или куннилингусе ) может вызвать неприятные ощущения .	настолько
На денежные средства , присланные монастырями и купцами , Скопин-Шуйский вновь привлёк к своему войску наёмников Делагарди , не желая оставлять их без контроля в своём тылу .	контроля
Будучи в 4-м классе , Возняк получил лицензию радиолюбителя , а в восьмом собрал сложный калькулятор , получивший первый приз на городском конкурсе , проводимом Би-би-си .	конкурсе
С начала строительства вокруг окончательной высоты небоскрёба существовало множество слухов .	высоты
Андерс Брейвик , 22 июля 2011 года совершивший вооружённое нападение на молодёжный лагерь Норвежской рабочей партии , называл её убийство главной целью своей акции .	лагерь
Обширна иконография праздника Пятидесятницы , а также апостолов Петра , Павла и вероятного автора Деяний — евангелиста Луки .	автора
В середине XIX века такие эпидемии чаще всего заканчивались гибелью бо́льшей части экипажа .	экипажа
Также почти полностью из игроков « Динамо » состояла сборная СССР , возглавляемая главным тренером Лобановским , на чемпионате Европы 1988 .	состояла
Автор многочисленных публикаций и монографий по физике газовых разрядов .	многочисленных
Выходец из этой семьи , вследствие тяжёлого материального положения , покинул прежнее место направился через Талышскую область в Ширван .	положения
Он был городом-тюрьмой , местом ссылки политических заключённых .	местом
В гостевом доме самой влиятельной деревни собирается окружное " фоно " , в котором участвуют главы всех деревень .	главы
Если провести в пентагоне диагонали , то он разобьётся на :	провести
С 1 декабря 2010 года 6951-я гвардейская авиационная база ( 1 разряда ) ( в / ч 40444 , 249425 , Калужская обл. ,	обл.
В 1919 — 1921 годах — один из активных деятелей возглавлявшегося К. Малевичем витебского УНОВИСа .	активных
В конце 1950 года Тарковский расторг брак с А .	брак
Был признан самым сильным атлетом России 1998 года по версии профессиональной лиги « Интерстронг » .	признан
Этот населённый пункт предположительно находился у горного перевала , ведшего из Баната в Трансильванию , — у Железных Ворот рядом с Карансебешем .	населённый
Переезд населения Ингерманландии в Финляндию и Эстонию соответствовал замыслам руководства Третьего Рейха .	руководства
Аппараты могут быть выполнены в виде самолёта , вертолёта и махолёта .	самолёта
У германского командования был план « Танненбаум » по захвату Швейцарии , однако он не был приведён в исполнение ценой значительных уступок , в первую очередь финансовых .	командования
Йост был старшим сыном моравского маркграфа Иоганна Генриха , брата императора Карла IV , и Маргариты , дочери князя Опавского .	старшим
Двоякое истолкование названий притока Сестры и её основного русла , по которому проходила Ореховецкая граница , также породило впоследствии почву для взаимных раздоров .	основного
Александрия — название , изначально дававшееся различным населённым пунктам в честь царя и полководца Александра Великого .	изначально
Расследование положения дел Екатериной II и начавшаяся турецкая война возвратили заводы в казну .	положения
В медицинских целях применяют корень женьшеня обыкновенного ( " Panax ginseng " ) — .	целях
Музыкальное образование получил в консерватории Санта-Мария-ди-Лорето в Неаполе , где учился у Алессандро Сперанца и Феделе Фенароли .	консерватории
В 1874 году поступил в Астраханскую классическую гимназию и в 1881 году окончил её с золотой медалью .	медалью
" См. статью : История выступлений ФК « Днепр » , ФК « Днепр » в еврокубках "	выступлений
Игра Герои Мальгримии 3 находится в разработке .	разработке
Происходит от финно-угорской основы « сара » — болото , заболоченная река , широко представленной в топонимии Мордовии и соседних территорий .	территорий
DNS Cloud — распределенная платформа под управлением MSK-IX , обеспечивающая отказоустойчивость и быстродействие службы DNS для обслуживаемых доменных зон .	управлением
В 1859 году Нил Филатов поступил во второй класс Пензенского дворянского института , где одновременно обучались ещё три его брата .	класс
Благодаря хорошей стратегии он смог пересидеть Ковалайнена на втором пит-стопе и во второй раз подряд поднялся на подиум , финишировав третьим .	подряд
Действующее банковское законодательство предусматривает обязанность авторизованных банков создавать обеспечительные активы по курсу один к одному .	одному
Промышленный и научный центр Витебской области , центр белорусской нефтехимии .	научный
В остальном до конца 1950-х годов район сохранял свой двухэтажный облик — новое строительство велось эпизодически .	1950-х
Так , мутации , приводящие к замене заряженной аминокислоты на аминокислоту с противоположным зарядом , могут затрагивать только первую позицию , а вторую — никогда .	позицию
Тот торговый путь не терял своей значимости до начала XVII века , времени строительства Санкт-Петербурга , а с перемещением торговых путей на запад стал приходить в упадок .	путей
Американский подход принимает во внимание не только временны́е затраты , но и результаты деятельности : положительную динамику показателей компании .	принимает
Клуб планирует реконструкцию Северной трибуны , что должно увеличить вместимость стадиона до 51 000 зрителей .	зрителей
Знаменитое турне поэтов по югу России в январе 1914 года организовал Вадим Баян ( Владимир Иванович Сидоров ) .	организовал
Само название группы переводится с английского языка как „ убийца “ .	английского
Значительное внимание уделяется повышению качества металла на всех стадиях его производства .	качества
Вот почему столь элегична его заключительная мемуарная книга « Вчерашний мир » : прежний мир исчез , а в настоящем мире он всюду чувствовал себя чужим .	столь
« Рассказ моей бабушки » ( " Невский альманах " , 1832 ) помог А .	помог
Центральный рынок всегда считался довольно грязным местом — мусор , необустроенность торговых рядов .	местом
Левитан на несколько недель ездил в Финляндию , где написал картины : « Крепость .	недель
В годы Тридцатилетней войны ( 1618-48 ) в прибыльной чеканке денег приняли участие также крупные немецкие государства .	денег
Административный центр прихода Вермилион , на р .	прихода
Салициловая кислота послужила основой для целого класса лекарственных веществ , называемых , примером такого препарата является диоксибензойная кислота .	веществ
С. Штейнера , куртизанки имели меньше привязанностей и могли по сравнению с другими людьми быстрее осознать непостоянство отношений и быть свободными от страстей при помощи своей работы .	людьми
Это оружие характерно для Древнего Востока .	оружие
Японские потери оцениваются в 61 тыс. человек ( из них около трети — убитыми ) .	потери
Одни провода продублированы на обеих сторонах , о назначении других контроллеры « договариваются » при подключении .	обеих
Количество суммарной солнечной энергии равняется 115 ккал / см2 .	энергии
Па́вел Алексе́евич Зино́вьев ( 1843 — 1888 ) — русский пианист , педагог и музыкальный критик .	музыкальный
Автобиография стала настольной книгой всех фолксингеров и вызвала всплеск интереса молодой интеллигенции к народному творчеству .	молодой
Главное лицо эпопеи — бравый солдат Швейк — талантливый саботажник , ставший любимым героем Чехии .	лицо
В 1977 — 1979 годах он также являлся директором Совета по международным отношениям , организации по международной политике .	международной
Незадолго до ухода из Apple Джобс через Алана Кэя познакомился с Эдом Кэтмаллом , начальником компьютерного подразделения киностудии Lucasfilm .	подразделения
Заправка самолёта производится через четыре горловины централизованной заправки под давлением , которые расположены попарно в носках обтекателей шасси .	самолёта
Барьерные рифы и атоллы не всегда образуют замкнутое кольцо , иногда штормы разбивают стены .	стены
В 1720 году князь Долгоруков умирает , а волость причисляется к дворцовому ведомству .	волость
Постановлением Кабинета Министров Украины от 03.02.2010 г. № 76 НТУУ « КПИ » предоставлен статус самоуправного ( автономного ) исследовательского национального университета .	автономного
В стране существует всего 101 начальная школа , значительная часть которых находится в труднодоступных районах .	районах
The Beach Boys ( , ) — американская рок-группа .	американская
Примечательно также то , что именно на том первенстве дебютировал латвийский мальчик , который набрал даже на очко меньше Штейна .	первенстве
Все делалось очень быстро , и это приводило к проблемам — например , исправленные программистом ошибки возникали снова и снова из « неучтённых » копий других сотрудников .	сотрудников
За отставку Кебича проголосовал 101 народный депутат , против — 175 .	депутат
Эта форма впервые появляется в Книге Иисуса Навина .	форма
Структура управления губерниями не претерпела изменений .	изменений
На Мастерсе в Цинциннати он выходит в четвертьфинал , обыграв во втором раунде Роджера Федерера ( №	раунде
Прогрессия некоторых инфекционных заболеваний может быть связана не только с подавлением , но и наоборот , с усилением апоптоза .	связана
В Литве , Эстонии , США и ОАЭ валокордин как комбинированный препарат помещён в список наркотических веществ и соответственно запрещён к ввозу .	веществ
Выходом из непрекращающейся борьбы добра со злом для автора является мистицизм и расплывчатая вера в лучшее будущее .	автора
Матчевая практика Бернштейна невелика ; он победил О. Негели 3 : 1 ( 1932 ) ; сыграл вничью с Г .	победил
Протяжённость города вдоль побережья водохранилища составляет 65 км .	побережья
